Source,Target,Type,Id,Label,Interval,Weight
Kirsten_Dunst,Adam_Goldberg,Undirected,0,Kirsten_Dunst,NA,1
Khalid_Abdalla,Ahmed_Hassan,Undirected,1,Khalid_Abdalla,NA,1
Zach_Gilford,Aimee_Teegarden,Undirected,2,Zach_Gilford,NA,1
Robert_De_Niro,Al_Pacino,Undirected,3,Robert_De_Niro,NA,1
Claudette_Colbert,Alan_Hale,Undirected,4,Claudette_Colbert,NA,1
Robert_De_Niro,Albert_Brooks,Undirected,5,Robert_De_Niro,NA,1
Sally_Kirkland,Alex_Emanuel,Undirected,6,Sally_Kirkland,NA,1
Thomas_Bo_Larsen,Alexandra_Rapaport,Undirected,7,Thomas_Bo_Larsen,NA,1
Sarah_Michelle_Gellar,Alyson_Hannigan,Undirected,8,Sarah_Michelle_Gellar,NA,1
Gerard_Butler,America_Ferrera,Undirected,9,Gerard_Butler,NA,1
Bahare_Seddiqi,Amir_Farrokh_Hashemian,Undirected,10,Bahare_Seddiqi,NA,1
Candice_Bergen,Amrish_Puri,Undirected,11,Candice_Bergen,NA,1
Stephen_Colbert,Amy_Sedaris,Undirected,12,Stephen_Colbert,NA,1
Donatas_Banionis,Anatoliy_Solonitsyn,Undirected,13,Donatas_Banionis,NA,1
Martin_Short,Andrea_Martin,Undirected,14,Martin_Short,NA,1
Anthony_Hopkins,Anne_Bancroft,Undirected,15,Anthony_Hopkins,NA,1
Matthew_McConaughey,Anne_Hathaway,Undirected,16,Matthew_McConaughey,NA,1
Tamannaah_Bhatia,Anushka_Shetty,Undirected,17,Tamannaah_Bhatia,NA,1
Wayne_Knight,Ariana_Richards,Undirected,18,Wayne_Knight,NA,1
Jackie_Gleason,Art_Carney,Undirected,19,Jackie_Gleason,NA,1
William_Gates,Arthur_Agee,Undirected,20,William_Gates,NA,1
Adam_Goldberg,Austin_Pendleton,Undirected,21,Adam_Goldberg,NA,1
Elina_Abai_Kyzy,Aziz_Muradillayev,Undirected,22,Elina_Abai_Kyzy,NA,1
Collin_Alfredo_St._Dic,Balinese_Tari_Legong_Dancers,Undirected,23,Collin_Alfredo_St._Dic,NA,1
Simon_Bird,Belinda_Stewart-Wilson,Undirected,24,Simon_Bird,NA,1
Ethan_Suplee,Beverly_D'Angelo,Undirected,25,Ethan_Suplee,NA,1
Peter_Robbins,Bill_Melendez,Undirected,26,Peter_Robbins,NA,1
Orlando_Bloom,Billy_Boyd,Undirected,27,Orlando_Bloom,NA,1
Min-sik_Choi,Bin_Won,Undirected,28,Min-sik_Choi,NA,1
Romola_Garai,Blake_Ritson,Undirected,29,Romola_Garai,NA,1
Christian_Bale,Blythe_Danner,Undirected,30,Christian_Bale,NA,1
Jason_Statham,Brad_Pitt,Undirected,31,Jason_Statham,NA,1
Michael_Fassbender,Brad_Pitt,Undirected,32,Michael_Fassbender,NA,1
Morgan_Freeman,Brad_Pitt,Undirected,33,Morgan_Freeman,NA,1
Nicholas_Aaron,Brendan_Mackey,Undirected,34,Nicholas_Aaron,NA,1
Adam_Arkin,Brent_Sexton,Undirected,35,Adam_Arkin,NA,1
Michael_Biehn,Brian_Thompson,Undirected,36,Michael_Biehn,NA,1
Robert_Duvall,Brock_Peters,Undirected,37,Robert_Duvall,NA,1
Alan_Rickman,Bruce_Willis,Undirected,38,Alan_Rickman,NA,1
Thomas_Kretschmann,Bruno_Ganz,Undirected,39,Thomas_Kretschmann,NA,1
Emma_Stone,Bryce_Dallas_Howard,Undirected,40,Emma_Stone,NA,1
Sylvester_Stallone,Burgess_Meredith,Undirected,41,Sylvester_Stallone,NA,1
Robert_De_Niro,Burt_Young,Undirected,42,Robert_De_Niro,NA,1
John_F._Kennedy,Buzz_Aldrin,Undirected,43,John_F._Kennedy,NA,1
Robin_Wright,Carol_Kane,Undirected,44,Robin_Wright,NA,1
Woody_Allen,Carol_Kane,Undirected,45,Woody_Allen,NA,1
Michael_Biehn,Carrie_Henn,Undirected,46,Michael_Biehn,NA,1
Robert_De_Niro,Cathy_Moriarty,Undirected,47,Robert_De_Niro,NA,1
Tom_Hardy,Charlize_Theron,Undirected,48,Tom_Hardy,NA,1
Kevin_Spacey,Chazz_Palminteri,Undirected,49,Kevin_Spacey,NA,1
Bill_Murray,Chris_Elliott,Undirected,50,Bill_Murray,NA,1
Tom_Hardy,Christian_Bale,Undirected,51,Tom_Hardy,NA,1
Leonardo_DiCaprio,Christoph_Waltz,Undirected,52,Leonardo_DiCaprio,NA,1
Humphrey_Bogart,Claude_Rains,Undirected,53,Humphrey_Bogart,NA,1
Pierre_Perrier,Clotilde_Hesme,Undirected,54,Pierre_Perrier,NA,1
David_Raizor,Cody_Howard,Undirected,55,David_Raizor,NA,1
Djimon_Hounsou,Connie_Nielsen,Undirected,56,Djimon_Hounsou,NA,1
Dorian_Missick,Daniella_Alonso,Undirected,57,Dorian_Missick,NA,1
Zack_Ward,Darren_McGavin,Undirected,58,Zack_Ward,NA,1
Michael_Nyqvist,David_Dencik,Undirected,59,Michael_Nyqvist,NA,1
Rita_Moreno,Debbie_Reynolds,Undirected,60,Rita_Moreno,NA,1
John_Ratzenberger,Delroy_Lindo,Undirected,61,John_Ratzenberger,NA,1
Campbell_Scott,Dick_Cheney,Undirected,62,Campbell_Scott,NA,1
Robert_De_Niro,Don_Rickles,Undirected,63,Robert_De_Niro,NA,1
Christopher_Judge,Don_S._Davis,Undirected,64,Christopher_Judge,NA,1
Matt_Damon,Donald_Glover,Undirected,65,Matt_Damon,NA,1
James_Coburn,Donald_Pleasence,Undirected,66,James_Coburn,NA,1
Clint_Eastwood,Dreama_Walker,Undirected,67,Clint_Eastwood,NA,1
Corbin_Bernsen,Dulé_Hill,Undirected,68,Corbin_Bernsen,NA,1
Ryan_Reynolds,Ed_Skrein,Undirected,69,Ryan_Reynolds,NA,1
Natalie_Portman,Eddie_Marsan,Undirected,70,Natalie_Portman,NA,1
Matt_Damon,Edgar_Ramírez,Undirected,71,Matt_Damon,NA,1
Liam_Neeson,Embeth_Davidtz,Undirected,72,Liam_Neeson,NA,1
Bruce_Willis,Eric_Stoltz,Undirected,73,Bruce_Willis,NA,1
Al_Pacino,F._Murray_Abraham,Undirected,74,Al_Pacino,NA,1
Jeffrey_Jones,F._Murray_Abraham,Undirected,75,Jeffrey_Jones,NA,1
Robert_Duvall,Faye_Dunaway,Undirected,76,Robert_Duvall,NA,1
Wagner_Moura,Fernanda_Machado,Undirected,77,Wagner_Moura,NA,1
Maria_Pia_Calzone,Fortunato_Cerlino,Undirected,78,Maria_Pia_Calzone,NA,1
Marshall_Bell,Frances_Lee_McCain,Undirected,79,Marshall_Bell,NA,1
Emilia_Fox,Frank_Finlay,Undirected,80,Emilia_Fox,NA,1
Tom_Hardy,Frank_Grillo,Undirected,81,Tom_Hardy,NA,1
John_Ratzenberger,Fred_Willard,Undirected,82,John_Ratzenberger,NA,1
Keir_Dullea,Gary_Lockwood,Undirected,83,Keir_Dullea,NA,1
Hattie_McDaniel,George_Reeves,Undirected,84,Hattie_McDaniel,NA,1
Matt_Damon,George_W._Bush,Undirected,85,Matt_Damon,NA,1
Yaphet_Kotto,Gloria_Foster,Undirected,86,Yaphet_Kotto,NA,1
Tobias_Menzies,Graham_McTavish,Undirected,87,Tobias_Menzies,NA,1
Tommy_Sheppard,Greg_Speirs,Undirected,88,Tommy_Sheppard,NA,1
Brigitte_Helm,Gustav_Fröhlich,Undirected,89,Brigitte_Helm,NA,1
Bruce_Willis,Haley_Joel_Osment,Undirected,90,Bruce_Willis,NA,1
Hanno_Pöschl,Hans_Weingartner,Undirected,91,Hanno_Pöschl,NA,1
Christian_Bale,Heath_Ledger,Undirected,92,Christian_Bale,NA,1
Anwar_Congo,Herman_Koto,Undirected,93,Anwar_Congo,NA,1
Christian_Bale,Hugh_Jackman,Undirected,94,Christian_Bale,NA,1
Harrison_Ford,Ian_McDiarmid,Undirected,95,Harrison_Ford,NA,1
Ruth_Wilson,Indira_Varma,Undirected,96,Ruth_Wilson,NA,1
Liv_Ullmann,Ingrid_Thulin,Undirected,97,Liv_Ullmann,NA,1
Ólafur_Darri_Ólafsson,Ingvar_Eggert_Sigurðsson,Undirected,98,Ólafur_Darri_Ólafsson,NA,1
Bob_Proctor,Jack_Canfield,Undirected,99,Bob_Proctor,NA,1
Joan_Allen,Jacob_Tremblay,Undirected,100,Joan_Allen,NA,1
Minnie_Driver,Jada_Pinkett_Smith,Undirected,101,Minnie_Driver,NA,1
Brighton_Sharbino,Jake_Busey,Undirected,102,Brighton_Sharbino,NA,1
Hugh_Jackman,Jake_Gyllenhaal,Undirected,103,Hugh_Jackman,NA,1
Mathieu_Kassovitz,Jamel_Debbouze,Undirected,104,Mathieu_Kassovitz,NA,1
Jason_Flemyng,James_Nesbitt,Undirected,105,Jason_Flemyng,NA,1
Shirley_Henderson,James_Norton,Undirected,106,Shirley_Henderson,NA,1
Billy_Crudup,Jamey_Sheridan,Undirected,107,Billy_Crudup,NA,1
David_Ogden_Stiers,Jamie_Farr,Undirected,108,David_Ogden_Stiers,NA,1
Francis_Capra,Jason_Dohring,Undirected,109,Francis_Capra,NA,1
Jason_Statham,Jason_Flemyng,Undirected,110,Jason_Statham,NA,1
Claude_Rains,Jean_Arthur,Undirected,111,Claude_Rains,NA,1
Philip_Seymour_Hoffman,Jeff_Bridges,Undirected,112,Philip_Seymour_Hoffman,NA,1
Morgan_Freeman,Jeffrey_DeMunn,Undirected,113,Morgan_Freeman,NA,1
Tom_Hanks,Jeffrey_DeMunn,Undirected,114,Tom_Hanks,NA,1
Joe_Morton,Jenette_Goldstein,Undirected,115,Joe_Morton,NA,1
Mary_Kate_Wiles,Jennifer_Landa,Undirected,116,Mary_Kate_Wiles,NA,1
Min-sik_Choi,Ji-tae_Yu,Undirected,117,Min-sik_Choi,NA,1
Joe_Cocker,Jimi_Hendrix,Undirected,118,Joe_Cocker,NA,1
Laurence_Olivier,Joan_Fontaine,Undirected,119,Laurence_Olivier,NA,1
Nehemiah_Persoff,Joe_E._Brown,Undirected,120,Nehemiah_Persoff,NA,1
Steve_Buscemi,John_Ratzenberger,Undirected,121,Steve_Buscemi,NA,1
Tom_Hanks,John_Ratzenberger,Undirected,122,Tom_Hanks,NA,2
Justin_Fletcher,John_Sparkes,Undirected,123,Justin_Fletcher,NA,1
Zack_Ward,Jonathan_Crombie,Undirected,124,Zack_Ward,NA,1
Adriana_Barraza,Jorge_Salinas,Undirected,125,Adriana_Barraza,NA,1
Claude_Rains,José_Ferrer,Undirected,126,Claude_Rains,NA,1
Dominic_Cooper,Joseph_Gilgun,Undirected,127,Dominic_Cooper,NA,1
Leonardo_DiCaprio,Joseph_Sikora,Undirected,128,Leonardo_DiCaprio,NA,1
Burl_Ives,Judith_Anderson,Undirected,129,Burl_Ives,NA,1
Harrison_Ford,Julian_Glover,Undirected,130,Harrison_Ford,NA,1
Rob_McElhenney,Kaitlin_Olson,Undirected,131,Rob_McElhenney,NA,1
Harrison_Ford,Karen_Allen,Undirected,132,Harrison_Ford,NA,1
Marlon_Brando,Karl_Malden,Undirected,133,Marlon_Brando,NA,1
Peter_Mensah,Kelvin_Taylor,Undirected,134,Peter_Mensah,NA,1
Harrison_Ford,Kenny_Baker,Undirected,135,Harrison_Ford,NA,1
Debi_Mazar,Kevin_Connolly,Undirected,136,Debi_Mazar,NA,1
Kate_Winslet,Kirsten_Dunst,Undirected,137,Kate_Winslet,NA,1
Peter_Dinklage,Lauren_Cohan,Undirected,138,Peter_Dinklage,NA,1
Jack_Warden,Lee_J._Cobb,Undirected,139,Jack_Warden,NA,1
Shahab_Hosseini,Leila_Hatami,Undirected,140,Shahab_Hosseini,NA,1
Ringo_Starr,Levon_Helm,Undirected,141,Ringo_Starr,NA,1
Christian_Bale,Liam_Neeson,Undirected,142,Christian_Bale,NA,1
Donna_Reed,Lionel_Barrymore,Undirected,143,Donna_Reed,NA,1
Gary_Cooper,Lloyd_Bridges,Undirected,144,Gary_Cooper,NA,1
Belén_Rueda,Lola_Dueñas,Undirected,145,Belén_Rueda,NA,1
Clint_Eastwood,Luigi_Pistilli,Undirected,146,Clint_Eastwood,NA,1
